Squad,# of Players,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog
Spain,16,81,1,1179,42,219,695,269,26,1178,4,21,19,14,8,997,47
Germany,16,74,1,932,67,242,436,259,45,931,3,17,17.6,12,18,722,46
France,16,62,1,870,30,146,513,217,43,870,8,21,38.1,11,5,670,46
England,17,66,2,789,47.5,217,420,158.5,23,789,9,17,52.9,13,6,612,36.5
Croatia,15,64,1,783,52,204,478,111,17,783,5,19,26.3,12,12,576,36
Argentina,15,69,1,753,40,226,373,158,25,752,6,14,42.9,9,12,537,32
Denmark,15,61,1,751,50,190,387,175,23,751,1,15,6.7,16,12,522,40
Brazil,16,59,1,746,44,163,383,206,35,746,5,22,22.7,22,10,532,47
Portugal,16,62,1,740,52,185,362,198,21,739,2,9,22.2,12,9,568,40
Uruguay,15,56,1,693,41,212,354,133,14,693,3,13,23.1,13,5,471,28
Belgium,15,53,1,658,115,339,252,76,14,658,6,13,46.2,16,9,442,23
Mexico,14,60,1,649,51,179,327,150,18,649,9,18,50,16,11,431,34
United States,18,51.5,2,638.5,56.5,193,305.5,145.5,19.5,638.5,4,8.5,47.1,19.5,10,444.5,24.5
Switzerland,16,51,1,634,58,188,309,143,14,634,0,4,0,15,10,449,40
Cameroon,15,49,1,633,68,237,273,129,17,633,6,14,42.9,18,7,436,28
Wales,17,52,2,626,73.5,226,277,125.5,18,625.5,3.5,12.5,28,16,10,379,27.5
Netherlands,17,54,2,610,67,211.5,289.5,112.5,11,610,3,7.5,40,14.5,11,409.5,27
Ecuador,16,49.5,2,589,29.5,191,296,106,19,588.5,5,16.5,30.3,18,9,392.5,19.5
Canada,16,47,1,585,48,151,262,174,34,585,5,18,27.8,18,8,384,30
Senegal,19,50.5,2,584,62.5,179,251.5,160,19,584,6.5,11,59.1,16.5,9.5,391,21
Australia,16,38,1,563,73,221,279,65,7,563,3,11,27.3,12,14,389,18
Korea Republic,14,44,1,557,46,159,232,169,13,557,3,14,21.4,13,7,342,17
Serbia,16,41,1,552,81,213,253,88,5,552,2,10,20,19,10,341,16
Qatar,17,46,2,551.5,61.5,197.5,279,78,9,551.5,6,13,46.2,17,7,363.5,16.5
Tunisia,16,39,1,545,90,259,205,85,12,545,7,10,70,13,9,300,13
Ghana,16,38,1,502,65,219,223,67,9,502,7,14,50,14,12,326,21
Morocco,15,36,1,502,60,181,232,95,11,502,2,12,16.7,15,9,297,14
Poland,14,40,1,469,66,167,207,103,11,468,7,17,41.2,18,8,249,14
Japan,16,26,1,440,98,238,138,69,20,440,3,10,30,10,4,200,15
Saudi Arabia,16,31,1,411,65,141,181,91,17,411,3,14,21.4,20,7,187,14
Iran,19,30.5,2,405,56.5,165.5,149.5,94.5,16.5,404.5,3,10,30,9,5.5,186.5,16.5
Costa Rica,16,19,1,343,59,157,148,44,3,343,2,3,66.7,16,13,173,10